BDU,2443,Asphalt,10/28
BEB,1220,Asphalt,17/35
BEB,1836,Asphalt,06/24
BEF,2019,Asphalt,05/23
BEG,3400,Asphalt,12L/30R
BEG,3500,Asphalt,12R/30L
BEJ,2250,Asphalt,01/19
BEL,1830,Asphalt,02/20
BEL,2800,Asphalt,6/24
BEL,32,Concrete,7/20
BEN,3600,Asphalt,15L/33R
BEN,3600,Asphalt,15R/33L
BER,3600,Asphalt,07L/25R
BER,4000,Concrete,07R/25L
BES,3100,Asphalt,07R/25L
BES,700,Asphalt,07L/25R
BET,1219,Asphalt,01R/19L
BET,1951,Asphalt,01L/19R
BET,566,Asphalt,12/30
BEU,1810,Asphalt,14/32
BEW,1698,Asphalt,17/35
BEW,2362,Asphalt,12/30
BEW,920,Asphalt,06/24
BEY,3250,Asphalt,17/35
BEY,3394,Concrete,16/34
BEY,3800,Concrete,03/21
BFD,1371,Asphalt,05/23
BFD,1922,Asphalt,14/32
BFF,2438,Asphalt,05/23
BFF,2523,Asphalt,12/30
BFI,1130,Asphalt,14L/32R
BFI,3050,Asphalt,14R/32L
BFJ,2600,Concrete,08/26
BFN,2195,Asphalt,12/30
BFN,2560,Asphalt,02/20
BFQ,700,Asphalt,02/20
BFS,1891,Asphalt,17/35
BFS,2780,Asphalt,07/25
BFV,2100,Asphalt,04/22
BGA,2170,Asphalt,16/34
BGC,1700,Asphalt,02/20
BGF,2600,Asphalt,16/34
BGG,2300,Concrete,12/30
BGI,3353,Asphalt,09/27
BGK,965,Asphalt,11/29
BGM,1524,Asphalt,10/28
BGM,2226,Asphalt,16/34
BGO,2990,Asphalt,17/35
BGR,3486,Asphalt,15/33
BGW,3301,Concrete,15R/33L
BGW,4000,Concrete,15L/33R
BGY,2937,Asphalt,10/28
BGY,778,Asphalt,12/30
BHB,1096,Unknown,11/29
BHB,1585,Asphalt,04/22
BHB,992,Asphalt,17/35
BHD,1830,Asphalt,04/22
BHE,1182,Unknown,10/28
BHE,1424,Unknown,06L/24R
BHE,1424,Asphalt,06R/24L
BHH,3050,Asphalt,18/36
BHI,1498,Asphalt,16R/34L
BHI,2030,Asphalt,6/24
BHI,2614,Asphalt,16L/34R
BHJ,2501,Asphalt,05/23
BHK,3000,Asphalt,01/19
BHM,2164,Asphalt,18/36
BHM,3660,Asphalt,06/24
BHO,1042,Unknown,06/24
BHO,2744,Asphalt,12/30
BHQ,1000,Grass,14/32
BHQ,2515,Asphalt,05/23
BHR,1158,Asphalt,15/33
BHS,1314,Gravel,08/26
BHS,1705,Asphalt,17/35
BHU,1920,Asphalt,07/25
BHV,2848,Asphalt,08/26
BHX,3052,Asphalt,15/33
BHY,3200,Concrete,01/19
BIA,2520,Asphalt,16/34
BID,763,Asphalt,10/28
BIE,1341,Concrete,14/32
BIE,1707,Concrete,18/36
BII,1359,Asphalt,04/22
BIK,3571,Asphalt,11/29
BIL,1158,Asphalt,10R/28L
BIL,1676,Asphalt,07/25
BIL,3205,Asphalt,10L/28R
BIM,1655,Asphalt,09/27
BIO,2000,Asphalt,10/28
BIO,2600,Asphalt,12/30
BIQ,2250,Asphalt,09/27
BIR,1505,Asphalt,09/27
BIS,2011,Asphalt,03/21
BIS,2680,Asphalt,13/31
BJA,2400,Asphalt,08/26
BJB,4420,Asphalt,07/25
BJF,1000,Asphalt,03/21
BJL,3600,Asphalt,14/32
BJM,3600,Asphalt,17/35
BJR,3000,Asphalt,04/22
BJV,2500,Concrete,10R/28L
BJV,3000,Concrete,10L/28R
BJX,3500,Asphalt,13/31
BJZ,2850,Asphalt,13/31
BKG,2176,Concrete,14/32
BKI,3780,Asphalt,02/20
BKK,3700,Asphalt,01L/19R
BKK,4000,Asphalt,01R/19L
BKM,549,Bitumen,05/23
BKN,2500,Concrete,11/29
BKO,3180,Asphalt,06/24
BKQ,1603,Clay,12/30
BKQ,1688,Asphalt,06/24
BKS,2500,Asphalt,13/31
BKW,1524,Asphalt,10/28
BKW,2057,Asphalt,01/19
BKX,1097,Asphalt,17/35
BKX,1828,Asphalt,12/30
